timestamp,batch,processed,total,success,fail,error,accuracy,avg_time
2024-12-11T05:17:03.420796,1,278,5572,129,38,111,46.40,4.6373
2024-12-11T05:17:19.398867,2,556,5572,129,38,389,23.20,2.3186
2024-12-11T05:17:54.297490,3,623,5572,130,40,453,20.87,2.1172
2024-12-11T06:07:27.189191,1,278,5572,156,44,78,56.12,5.5372
2024-12-11T06:52:59.057516,2,556,5572,303,87,166,54.50,5.5221
2024-12-11T07:49:09.661327,3,834,5572,436,129,269,52.28,5.2392
2024-12-11T08:36:02.533115,4,1112,5572,578,173,361,51.98,5.2711
2024-12-11T09:17:02.300059,5,1390,5572,727,206,457,52.30,5.1658
2024-12-11T10:00:14.522221,6,1668,5572,881,250,537,52.82,5.2650
2024-12-11T10:44:55.959415,7,1946,5572,1032,294,620,53.03,5.2891
2024-12-11T11:28:09.435312,8,2224,5572,1183,340,701,53.19,5.3082
2024-12-11T12:11:26.264432,9,2502,5572,1335,385,782,53.36,5.3242
2024-12-11T12:58:50.224591,10,2780,5572,1484,425,871,53.38,5.2965
2024-12-11T13:00:12.227414,11,2790,5572,1488,428,874,53.33,5.2961
