timestamp,batch,processed,total,success,fail,error,accuracy,avg_time
2024-12-11T04:36:09.757716,1,26,10000,8,0,18,30.77,8.9808
2024-12-11T13:30:10.481102,1,50,1000,0,0,50,0.00,10.0348
2024-12-11T13:38:32.238671,2,100,1000,0,0,100,0.00,10.0347
2024-12-11T13:46:53.851200,3,150,1000,0,0,150,0.00,10.0337
2024-12-11T13:55:15.473941,4,200,1000,0,0,200,0.00,10.0332
2024-12-11T14:03:37.184081,5,250,1000,0,0,250,0.00,10.0333
2024-12-11T14:03:47.208277,6,1000,1000,0,0,251,0.00,2.5184
2024-12-11T16:40:41.888350,1,12,251,0,0,12,0.00,10.0311
2024-12-11T16:42:42.275332,2,24,251,0,0,24,0.00,10.0313
2024-12-11T16:44:43.400233,3,36,251,1,0,35,2.78,10.0520
2024-12-11T16:46:41.965850,4,48,251,3,1,44,6.25,10.0090
2024-12-11T16:48:42.375456,5,60,251,3,1,56,5.00,10.0139
2024-12-11T16:50:42.769231,6,72,251,3,1,68,4.17,10.0170
2024-12-11T16:53:02.319316,7,84,251,5,1,78,5.95,10.2472
2024-12-11T16:55:02.698262,8,96,251,5,1,90,5.21,10.2202
2024-12-11T16:57:03.137345,9,108,251,5,1,102,4.63,10.1997
2024-12-11T16:59:03.538538,10,120,251,5,1,114,4.17,10.1830
2024-12-11T17:01:03.906553,11,132,251,5,1,126,3.79,10.1691
2024-12-11T17:03:04.311414,12,144,251,5,1,138,3.47,10.1578
2024-12-11T17:05:04.722231,13,156,251,5,1,150,3.21,10.1483
2024-12-11T17:07:05.100126,14,168,251,5,1,162,2.98,10.1399
2024-12-11T17:09:05.452665,15,180,251,5,1,174,2.78,10.1325
2024-12-11T17:11:05.912842,16,192,251,5,1,186,2.60,10.1266
