timestamp,batch,processed,total,success,fail,error,accuracy,avg_time
2024-12-11T13:34:34.632470,1,252,501,0,1,0,0.00,0.6679
2024-12-11T13:34:51.285742,2,253,501,1,1,0,0.40,0.7310
2024-12-11T13:34:55.973369,3,254,501,1,2,0,0.39,0.7466
2024-12-11T13:36:48.245493,4,255,501,1,3,0,0.39,1.1840
2024-12-11T13:37:11.250107,5,256,501,2,3,0,0.78,1.2692
2024-12-11T13:56:00.024268,6,300,501,21,28,0,7.00,4.8456
2024-12-11T14:21:12.112356,7,350,501,40,59,0,11.43,8.4735
2024-12-11T14:48:59.233434,8,400,501,60,89,0,15.00,11.5821
2024-12-11T15:16:00.122286,9,450,501,82,117,0,18.22,13.8971
2024-12-11T15:39:26.818409,10,500,501,107,142,0,21.40,15.3207
2024-12-11T15:42:03.140654,11,501,501,107,143,0,21.36,15.6022
