timestamp,batch,processed,total,success,fail,error,accuracy,avg_time
2024-12-11T05:22:30.976136,1,278,5572,239,38,1,85.97,6.0835
2024-12-11T05:48:59.590746,2,556,5572,479,76,1,86.15,5.8987
2024-12-11T06:23:00.554719,3,834,5572,728,104,2,87.29,5.8527
2024-12-11T06:47:35.515430,4,1112,5572,970,140,2,87.23,5.7158
2024-12-11T07:14:45.133661,5,1390,5572,1208,180,2,86.91,5.7449
2024-12-11T07:43:51.841023,6,1668,5572,1451,215,2,86.99,5.8345
2024-12-11T08:15:33.392476,7,1946,5572,1689,255,2,86.79,5.9781
2024-12-11T08:45:38.731737,8,2224,5572,1929,293,2,86.74,6.0425
2024-12-11T09:09:36.220930,9,2502,5572,2063,314,125,82.45,5.8059
2024-12-11T09:22:41.398581,10,2780,5572,2063,314,403,74.21,5.2253
2024-12-11T09:35:48.465613,11,3058,5572,2063,314,681,67.46,4.7503
2024-12-11T09:48:54.039774,12,3336,5572,2063,314,959,61.84,4.3544
2024-12-11T10:02:00.335673,13,3614,5572,2063,314,1237,57.08,4.0195
2024-12-11T10:15:07.656870,14,3892,5572,2063,314,1515,53.01,3.7324
2024-12-11T10:28:16.267650,15,4170,5572,2063,314,1793,49.47,3.4836
2024-12-11T10:41:28.377798,16,4448,5572,2063,314,2071,46.38,3.2658
2024-12-11T10:54:39.040635,17,4726,5572,2063,314,2349,43.65,3.0737
2024-12-11T11:07:45.291292,18,5004,5572,2063,314,2627,41.23,2.9030
2024-12-11T11:20:51.947831,19,5282,5572,2063,314,2905,39.06,2.7502
2024-12-11T11:33:59.456108,20,5560,5572,2063,314,3183,37.10,2.6127
2024-12-11T11:34:32.611395,21,5572,5572,2063,314,3195,37.02,2.6070

2024-12-11T12:59:32.800493,1,2225,4459,1930,293,2,86.74,6.2392
2024-12-11T12:59:36.492953,2,2226,4459,1931,293,2,86.75,6.2381
2024-12-11T12:59:39.845298,3,2227,4459,1931,294,2,86.71,6.2368
2024-12-11T12:59:42.978318,4,2228,4459,1931,295,2,86.67,6.2354
2024-12-11T12:59:48.677071,5,2229,4459,1932,295,2,86.68,6.2351
2024-12-11T12:59:53.496403,6,2230,4459,1933,295,2,86.68,6.2345
2024-12-11T12:59:56.967905,7,2231,4459,1933,296,2,86.64,6.2333
2024-12-11T13:00:04.255084,8,2232,4459,1934,296,2,86.65,6.2337
2024-12-11T13:19:26.114422,9,2502,4459,2101,399,2,83.97,6.0253
2024-12-11T13:40:34.858607,10,2780,4459,2287,491,2,82.27,5.8791
2024-12-11T14:04:48.648371,11,3058,4459,2474,582,2,80.90,5.8201
2024-12-11T14:32:04.495573,12,3336,4459,2661,673,2,79.77,5.8254
2024-12-11T14:55:01.822481,13,3614,4459,2844,768,2,78.69,5.7584
2024-12-11T15:20:19.591833,14,3892,4459,3034,856,2,77.95,5.7370
2024-12-11T15:40:19.976211,15,4170,4459,3230,938,2,77.46,5.6424
2024-12-11T16:02:22.853627,16,4448,4459,3429,1017,2,77.09,5.5871
2024-12-11T16:03:03.208775,17,4459,4459,3436,1021,2,77.06,5.5824
