label,message,suspicious,outcome,time
ham,"I prefer my free days... Tues, wed, fri oso can... ÌÏ ask those workin lor...",no,success,3.737389087677002
ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,no,success,3.6777892112731934
ham,If you have belive me. Come to my home.,yes,fail,3.3414108753204346
ham,Oh k.k..where did you take test?,yes,fail,3.122016429901123
ham,Those were my exact intentions,no,success,5.689619302749634
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,no,success,4.802228212356567
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",yes,fail,3.46230411529541
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",no,success,7.276064872741699
ham,Nothing just getting msgs by dis name wit different no's..,yes,fail,4.002326965332031
ham,Good Morning plz call me sir,no,success,4.625312805175781
ham,What's your room number again? Wanna make sure I'm knocking on the right door,yes,fail,8.44789743423462
ham,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel,yes,fail,4.259525537490845
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,yes,fail,7.183133125305176
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",yes,fail,6.682332277297974
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,yes,fail,4.7585227489471436
ham,Every day i use to sleep after  &lt;#&gt;  so only.,yes,fail,6.3399224281311035
ham,K I'll call you when I'm close,no,success,4.270119905471802
ham,U buy newspapers already?,no,success,3.57344913482666
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,no,success,5.279577255249023
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,no,success,4.6235435009002686
ham,No management puzzeles.,yes,fail,4.10775351524353
ham,How did you find out in a way that didn't include all of these details,yes,fail,3.632392168045044
